file,text,num_chars,num_tokens
TJU_NCM_CY25-05_1-#14.csv,"NCM at 25°C. CC-CV 0.5C to 4.2V. Disch 1C to 2.5V. Cyc=1, SOH=0.909%. CVQ=0.609, CVt=1251.972s, Islo...",125,94
TJU_NCM_CY45-05_1-#2.csv,"NCM at 45°C. CC-CV 0.5C to 4.2V. Disch 1C to 2.5V. Cyc=1, SOH=0.947%. CVQ=0.622, CVt=1281.560s, Islo...",125,94
MIT_2017-05-12_battery-38.csv,"LFP/Graphite at 30°C. CC-CV 12.7C to 30%, 3.6C to 80%. Disch 4C to 2.0V. Cyc=1, SOH=0.978%. CVQ=0.15...",146,105
XJTU_Sim_satellite_battery-4.csv,"NCM at 30°C. CC-CV 2C to 4.2V Disch 0.667C Cyc=1, SOH=0.980%. CVQ=0.367, CVt=330.960s, Islope=-8.82e...",116,87
MIT_2017-06-30_battery-18.csv,"LFP/Graphite at 30°C. CC-CV 4.4C to 47%, 5.5C to 80%. Disch 4C to 2.0V. Cyc=1, SOH=0.972%. CVQ=0.131...",145,104
XJTU_3C_battery-7.csv,"NCM at 30°C. CC-CV 3C to 4.2V Disch 1C to 2.5V Cyc=1, SOH=0.939%. CVQ=0.382, CVt=229.320s, Islope=-1...",120,89
MIT_2017-05-12_battery-40.csv,"LFP/Graphite at 30°C. CC-CV 12.7C to 40%, 3.6C to 80%. Disch 4C to 2.0V. Cyc=1, SOH=0.985%. CVQ=0.16...",146,105
TJU_NCM_CY45-05_1-#27.csv,"NCM at 45°C. CC-CV 0.5C to 4.2V. Disch 1C to 2.5V. Cyc=1, SOH=0.926%. CVQ=0.604, CVt=1241.238s, Islo...",125,94
MIT_2017-05-12_battery-41.csv,"LFP/Graphite at 30°C. CC-CV 12.8C to 15%, 3.6C to 80%. Disch 4C to 2.0V. Cyc=1, SOH=0.988%. CVQ=0.16...",146,105
XJTU_3C_battery-3.csv,"NCM at 30°C. CC-CV 3C to 4.2V Disch 1C to 2.5V Cyc=1, SOH=0.939%. CVQ=0.385, CVt=230.820s, Islope=-1...",120,89
TJU_NCA_CY45-05_1-#12.csv,"NCA at 45°C. CC-CV 0.5C to 4.2V. Disch 1C to 2.65V. Cyc=1, SOH=0.956%. CVQ=0.612, CVt=1257.596s, Isl...",126,95
MIT_2017-05-12_battery-23.csv,"LFP/Graphite at 30°C. CC-CV 12.6C to 40%, 3C to 80%. Disch 4C to 2.0V. Cyc=1, SOH=0.984%. CVQ=0.160,...",144,103
TJU_NCM_CY25-05_1-#7.csv,"NCM at 25°C. CC-CV 0.5C to 4.2V. Disch 1C to 2.5V. Cyc=1, SOH=0.921%. CVQ=0.610, CVt=1254.160s, Islo...",125,94
MIT_2017-06-30_battery-36.csv,"LFP/Graphite at 30°C. CC-CV 5.2C to 71%, 3C to 80%. Disch 4C to 2.0V. Cyc=1, SOH=0.972%. CVQ=0.136, ...",143,102
MIT_2017-06-30_battery-5.csv,"LFP/Graphite at 30°C. CC-CV 30.4C to 80%, 4C to 80%. Disch 4C to 2.0V. Cyc=1, SOH=0.976%. CVQ=0.136,...",144,103
TJU_NCM_CY25-05_1-#9.csv,"NCM at 25°C. CC-CV 0.5C to 4.2V. Disch 1C to 2.5V. Cyc=1, SOH=0.903%. CVQ=0.585, CVt=1204.758s, Islo...",125,94
XJTU_R3_battery-6.csv,"NCM at 30°C. CC-CV 2C to 4.2V Disch 0.5C-5C to 3.0V Cyc=1, SOH=0.949%. CVQ=0.351, CVt=316.080s, Islo...",125,94
MIT_2017-06-30_battery-20.csv,"LFP/Graphite at 30°C. CC-CV 4.4C to 8%, 4.85C to 80%. Disch 4C to 2.0V. Cyc=1, SOH=0.953%. CVQ=0.112...",145,104
MIT_2018-04-12_battery-41.csv,"LFP/Graphite at 30°C. CC-CV 5.3C to 54%, 4C to 80%. Disch 4C to 2.0V. Cyc=1, SOH=0.967%. CVQ=0.154, ...",143,102
MIT_2018-04-12_battery-43.csv,"LFP/Graphite at 30°C. CC-CV 5.6C to 36%, 4.3C to 80%. Disch 4C to 2.0V. Cyc=1, SOH=0.973%. CVQ=0.164...",145,104
TJU_NCA_CY45-05_1-#25.csv,"NCA at 45°C. CC-CV 0.5C to 4.2V. Disch 1C to 2.65V. Cyc=1, SOH=0.930%. CVQ=0.612, CVt=1259.570s, Isl...",126,95
TJU_NCA_CY25-025_1-#4.csv,"NCA at 25°C. CC-CV 0.25C to 4.2V. Disch 1C to 2.65V. Cyc=1, SOH=0.909%. CVQ=0.718, CVt=2940.000s, Is...",127,96
TJU_NCA_CY35-05_1-#2.csv,"NCA at 35°C. CC-CV 0.5C to 4.2V. Disch 1C to 2.65V. Cyc=1, SOH=0.942%. CVQ=0.602, CVt=1237.056s, Isl...",126,95
TJU_NCM_CY45-05_1-#17.csv,"NCM at 45°C. CC-CV 0.5C to 4.2V. Disch 1C to 2.5V. Cyc=1, SOH=0.925%. CVQ=0.596, CVt=1224.956s, Islo...",125,94
XJTU_R2.5_battery-2.csv,"NCM at 30°C. CC-CV 2C to 4.2V Disch 0.5C-5C to 2.5V Cyc=1, SOH=0.952%. CVQ=0.346, CVt=311.580s, Islo...",125,94
MIT_2017-06-30_battery-28.csv,"LFP/Graphite at 30°C. CC-CV 30.4C to 31%, 5.5C to 80%. Disch 4C to 2.0V. Cyc=1, SOH=0.970%. CVQ=0.13...",146,105
MIT_2018-04-12_battery-25.csv,"LFP/Graphite at 30°C. CC-CV 4.8C to 80%, 4.8C to 80%. Disch 4C to 2.0V. Cyc=1, SOH=0.952%. CVQ=0.141...",145,104
MIT_2017-05-12_battery-12.csv,"LFP/Graphite at 30°C. CC-CV 5.4C to 50%, 3C to 80%. Disch 4C to 2.0V. Cyc=1, SOH=0.960%. CVQ=0.133, ...",143,102
MIT_2017-05-12_battery-6.csv,"LFP/Graphite at 30°C. CC-CV 4.4C to 80%, 4.4C to 80%. Disch 4C to 2.0V. Cyc=1, SOH=0.981%. CVQ=0.154...",145,104
MIT_2017-06-30_battery-40.csv,"LFP/Graphite at 30°C. CC-CV 5.6C to 58%, 3.5C to 80%. Disch 4C to 2.0V. Cyc=1, SOH=0.981%. CVQ=0.148...",145,104
XJTU_R3_battery-8.csv,"NCM at 30°C. CC-CV 2C to 4.2V Disch 0.5C-5C to 3.0V Cyc=1, SOH=0.951%. CVQ=0.355, CVt=319.140s, Islo...",125,94
TJU_NCA_CY25-1_1-#5.csv,"NCA at 25°C. CC-CV 1.0C to 4.2V. Disch 1C to 2.65V. Cyc=1, SOH=0.887%. CVQ=0.823, CVt=846.522s, Islo...",125,94
MIT_2017-05-12_battery-46.csv,"LFP/Graphite at 30°C. CC-CV 12.8C to 35%, 3.6C to 80%. Disch 4C to 2.0V. Cyc=1, SOH=0.987%. CVQ=0.16...",146,105
MIT_2017-05-12_battery-8.csv,"LFP/Graphite at 30°C. CC-CV 4.8C to 80%, 4.8C to 80%. Disch 4C to 2.0V. Cyc=1, SOH=0.997%. CVQ=0.170...",145,104
XJTU_R3_battery-1.csv,"NCM at 30°C. CC-CV 2C to 4.2V Disch 0.5C-5C to 3.0V Cyc=1, SOH=0.950%. CVQ=0.344, CVt=309.780s, Islo...",125,94
XJTU_3C_battery-4.csv,"NCM at 30°C. CC-CV 3C to 4.2V Disch 1C to 2.5V Cyc=1, SOH=0.932%. CVQ=0.389, CVt=233.220s, Islope=-1...",120,89
MIT_2017-06-30_battery-38.csv,"LFP/Graphite at 30°C. CC-CV 5.6C to 38%, 4.25C to 80%. Disch 4C to 2.0V. Cyc=1, SOH=0.978%. CVQ=0.14...",146,105
TJU_NCA_CY25-025_1-#5.csv,"NCA at 25°C. CC-CV 0.25C to 4.2V. Disch 1C to 2.65V. Cyc=1, SOH=0.907%. CVQ=0.700, CVt=2880.000s, Is...",127,96
XJTU_RW_battery-3.csv,"NCM at 30°C. 0.5C CC-CV to 4.2V, then 3C CC-CV to 4.2V Disch random current-time discharge patterns ...",173,103
MIT_2017-06-30_battery-33.csv,"LFP/Graphite at 30°C. CC-CV 5.2C to 50%, 4.25C to 80%. Disch 4C to 2.0V. Cyc=1, SOH=0.977%. CVQ=0.14...",146,105
TJU_NCM_CY45-05_1-#12.csv,"NCM at 45°C. CC-CV 0.5C to 4.2V. Disch 1C to 2.5V. Cyc=1, SOH=0.947%. CVQ=0.613, CVt=1260.514s, Islo...",125,94
MIT_2017-05-12_battery-43.csv,"LFP/Graphite at 30°C. CC-CV 12.8C to 25%, 3.6C to 80%. Disch 4C to 2.0V. Cyc=1, SOH=0.984%. CVQ=0.16...",146,105
TJU_NCM_CY25-05_1-#13.csv,"NCM at 25°C. CC-CV 0.5C to 4.2V. Disch 1C to 2.5V. Cyc=1, SOH=0.907%. CVQ=0.601, CVt=1235.480s, Islo...",125,94
TJU_NCM_CY45-05_1-#21.csv,"NCM at 45°C. CC-CV 0.5C to 4.2V. Disch 1C to 2.5V. Cyc=1, SOH=0.927%. CVQ=0.613, CVt=1262.100s, Islo...",125,94
XJTU_3C_battery-15.csv,"NCM at 30°C. CC-CV 3C to 4.2V Disch 1C to 2.5V Cyc=1, SOH=0.915%. CVQ=0.440, CVt=264.480s, Islope=-1...",120,89
MIT_2017-05-12_battery-14.csv,"LFP/Graphite at 30°C. CC-CV 5.4C to 60%, 3C to 80%. Disch 4C to 2.0V. Cyc=1, SOH=0.985%. CVQ=0.162, ...",143,102
MIT_2017-06-30_battery-3.csv,"LFP/Graphite at 30°C. CC-CV 3.6C to 80%, 3.6C to 80%. Disch 4C to 2.0V. Cyc=1, SOH=0.978%. CVQ=0.141...",145,104
TJU_NCA_CY45-05_1-#2.csv,"NCA at 45°C. CC-CV 0.5C to 4.2V. Disch 1C to 2.65V. Cyc=1, SOH=0.957%. CVQ=0.610, CVt=1255.836s, Isl...",126,95
TJU_NCA_CY25-05_1-#4.csv,"NCA at 25°C. CC-CV 0.5C to 4.2V. Disch 1C to 2.65V. Cyc=1, SOH=0.926%. CVQ=0.654, CVt=1346.078s, Isl...",126,95
MIT_2017-05-12_battery-31.csv,"LFP/Graphite at 30°C. CC-CV 12.6C to 40%, 3.6C to 80%. Disch 4C to 2.0V. Cyc=1, SOH=0.983%. CVQ=0.15...",146,105
MIT_2017-05-12_battery-2.csv,"LFP/Graphite at 30°C. CC-CV 3.6C to 80%, 3.6C to 80%. Disch 4C to 2.0V. Cyc=1, SOH=0.981%. CVQ=0.157...",145,104
TJU_NCM_CY35-05_1-#2.csv,"NCM at 35°C. CC-CV 0.5C to 4.2V. Disch 1C to 2.5V. Cyc=1, SOH=0.925%. CVQ=0.570, CVt=1172.126s, Islo...",125,94
TJU_NCA_CY25-025_1-#7.csv,"NCA at 25°C. CC-CV 0.25C to 4.2V. Disch 1C to 2.65V. Cyc=1, SOH=0.924%. CVQ=0.725, CVt=2978.542s, Is...",127,96
MIT_2017-05-12_battery-28.csv,"LFP/Graphite at 30°C. CC-CV 12.6C to 60%, 3C to 80%. Disch 4C to 2.0V. Cyc=1, SOH=0.983%. CVQ=0.159,...",144,103
TJU_NCM_CY45-05_1-#8.csv,"NCM at 45°C. CC-CV 0.5C to 4.2V. Disch 1C to 2.5V. Cyc=1, SOH=0.943%. CVQ=0.600, CVt=1236.186s, Islo...",125,94
XJTU_2C_battery-6.csv,"NCM at 30°C. CC-CV 2C to 4.2V Disch 1C to 2.5V Cyc=1, SOH=0.958%. CVQ=0.344, CVt=309.240s, Islope=-1...",120,89
XJTU_RW_battery-4.csv,"NCM at 30°C. 0.5C CC-CV to 4.2V, then 3C CC-CV to 4.2V Disch random current-time discharge patterns ...",173,103
XJTU_RW_battery-2.csv,"NCM at 30°C. 0.5C CC-CV to 4.2V, then 3C CC-CV to 4.2V Disch random current-time discharge patterns ...",173,103
TJU_NCM_CY25-05_1-#22.csv,"NCM at 25°C. CC-CV 0.5C to 4.2V. Disch 1C to 2.5V. Cyc=1, SOH=0.921%. CVQ=0.584, CVt=1201.290s, Islo...",125,94
TJU_NCM_CY45-05_1-#5.csv,"NCM at 45°C. CC-CV 0.5C to 4.2V. Disch 1C to 2.5V. Cyc=1, SOH=0.944%. CVQ=0.614, CVt=1264.104s, Islo...",125,94
MIT_2017-05-12_battery-42.csv,"LFP/Graphite at 30°C. CC-CV 12.8C to 15%, 3.6C to 80%. Disch 4C to 2.0V. Cyc=1, SOH=0.984%. CVQ=0.16...",146,105
MIT_2018-04-12_battery-46.csv,"LFP/Graphite at 30°C. CC-CV 5.3C to 54%, 4C to 80%. Disch 4C to 2.0V. Cyc=1, SOH=0.974%. CVQ=0.163, ...",143,102
TJU_NCA_CY25-025_1-#6.csv,"NCA at 25°C. CC-CV 0.25C to 4.2V. Disch 1C to 2.65V. Cyc=1, SOH=0.923%. CVQ=0.713, CVt=2930.772s, Is...",127,96
TJU_NCM_CY45-05_1-#20.csv,"NCM at 45°C. CC-CV 0.5C to 4.2V. Disch 1C to 2.5V. Cyc=1, SOH=0.921%. CVQ=0.616, CVt=1268.600s, Islo...",125,94
TJU_NCA_CY45-05_1-#9.csv,"NCA at 45°C. CC-CV 0.5C to 4.2V. Disch 1C to 2.65V. Cyc=1, SOH=0.957%. CVQ=0.606, CVt=1247.540s, Isl...",126,95
MIT_2018-04-12_battery-18.csv,"LFP/Graphite at 30°C. CC-CV 5C to 67%, 4C to 80%. Disch 4C to 2.0V. Cyc=1, SOH=0.972%. CVQ=0.162, CV...",141,100
MIT_2017-06-30_battery-48.csv,"LFP/Graphite at 30°C. CC-CV 30.6C to 60%, 3C to 80%. Disch 4C to 2.0V. Cyc=1, SOH=0.949%. CVQ=0.113,...",144,103
TJU_NCA_CY25-1_1-#7.csv,"NCA at 25°C. CC-CV 1.0C to 4.2V. Disch 1C to 2.65V. Cyc=1, SOH=0.905%. CVQ=0.804, CVt=826.294s, Islo...",125,94
MIT_2017-05-12_battery-39.csv,"LFP/Graphite at 30°C. CC-CV 12.7C to 40%, 3.6C to 80%. Disch 4C to 2.0V. Cyc=1, SOH=0.977%. CVQ=0.15...",146,105
MIT_2017-05-12_battery-27.csv,"LFP/Graphite at 30°C. CC-CV 12.6C to 60%, 3C to 80%. Disch 4C to 2.0V. Cyc=1, SOH=0.991%. CVQ=0.166,...",144,103
XJTU_2C_battery-7.csv,"NCM at 30°C. CC-CV 2C to 4.2V Disch 1C to 2.5V Cyc=1, SOH=0.969%. CVQ=0.350, CVt=314.580s, Islope=-9...",120,89
